date,Q,pic_num,oysters_live,oysters_dead,substrate,fucus,macrocarpus,ulva,algae_other,bare,notes,SourceFile,DateTimeOriginal,GPSLongitude,GPSLatitude,GPSTimeStamp
4/09/2015,1,3637.0,0,0,cc,1,1,1,3,2,NA,DSC_3637.JPG,2015:09:04 15:28:20,-124.601535,49.529495,84501
4/09/2015,2,3638.0,0,0,cc,1,0,4,1,0,NA,DSC_3638.JPG,2015:09:04 15:29:47,-124.601405,49.5295183333333,84588
4/09/2015,3,3641.0,1,1,cc,1,1,0,2,3,"added this pic_num 12-11-2016, was assumed to be 3639 that photo missing",DSC_3641.JPG,2015:09:04 15:31:35,-124.601245,49.5293983333333,84697
4/09/2015,4,3642.0,0,0,cc,2,1,0,1,2,NA,DSC_3642.JPG,2015:09:04 15:32:42,-124.601126666667,49.5293366666667,84764
4/09/2015,5,3643.0,0,0,cc,1,1,0,4,1,NA,DSC_3643.JPG,2015:09:04 15:34:05,-124.600925,49.5293816666667,84846
4/09/2015,6,3644.0,0,0,cc,1,1,0,2,3,NA,DSC_3644.JPG,2015:09:04 15:35:15,-124.600675,49.5293283333333,84916
4/09/2015,7,3645.0,0,0,cc,1,1,0,1,4,NA,DSC_3645.JPG,2015:09:04 15:36:15,-124.600761666667,49.52933,84977
4/09/2015,8,3646.0,0,0,ls,1,1,0,1,4,NA,DSC_3646.JPG,2015:09:04 15:37:27,-124.600756666667,49.5292033333333,85048
4/09/2015,9,3647.0,0,0,cc,2,1,0,1,4,in tide pool,DSC_3647.JPG,2015:09:04 15:38:34,-124.600458333333,49.5291333333333,85115
4/09/2015,10,3648.0,0,0,cc,1,1,0,4,0,NA,DSC_3648.JPG,2015:09:04 15:39:47,-124.600346666667,49.5291433333333,85188
4/09/2015,11,3650.0,3,1,cc,1,1,1,4,1,NA,DSC_3650.JPG,2015:09:04 15:41:02,-124.600186666667,49.5290483333333,85263
4/09/2015,12,3652.0,0,0,cc,0,0,0,0,4,NA,DSC_3652.JPG,2015:09:04 15:43:15,-124.60025,49.5289333333333,85396
4/09/2015,13,3653.0,23,1,cc,2,1,0,1,2,NA,DSC_3653.JPG,2015:09:04 15:44:25,-124.600166666667,49.5289433333333,85466
4/09/2015,14,3656.0,0,1,cc,2,1,0,0,2,NA,DSC_3656.JPG,2015:09:04 15:46:17,-124.599985,49.5288583333333,85579
4/09/2015,15,3657.0,0,0,cc,1,1,0,0,4,NA,DSC_3657.JPG,2015:09:04 15:47:25,-124.599886666667,49.528765,85646
4/09/2015,16,3658.0,4,0,cc,3,1,0,4,1,NA,DSC_3658.JPG,2015:09:04 15:48:49,-124.599795,49.52865,85731
4/09/2015,17,3659.0,0,0,cc,3,1,1,3,2,NA,DSC_3659.JPG,2015:09:04 15:50:08,-124.599703333333,49.5285433333333,85809
4/09/2015,18,3660.0,0,1,cc,4,1,0,1,1,NA,DSC_3660.JPG,2015:09:04 15:52:11,-124.59959,49.528475,85933
4/09/2015,19,3662.0,1,0,cc,4,1,1,2,0,NA,DSC_3662.JPG,2015:09:04 15:53:39,-124.599486666667,49.5283916666667,86020
4/09/2015,20,3665.0,13,1,cc,4,1,0,1,0,NA,DSC_3665.JPG,2015:09:04 15:55:34,-124.59935,49.5283066666667,86136
4/09/2015,21,3666.0,18,4,cc,4,0,0,1,1,NA,DSC_3666.JPG,2015:09:04 15:57:49,-124.59924,49.52824,86271
4/09/2015,22,3668.0,0,0,lc,0,0,0,2,4,NA,DSC_3668.JPG,2015:09:04 16:00:31,-124.599095,49.52815,33
4/09/2015,23,3671.0,10,3,cc,3,1,0,2,1,NA,DSC_3671.JPG,2015:09:04 16:01:59,-124.598975,49.528185,120
4/09/2015,24,3672.0,18,1,cc,3,1,0,1,2,NA,DSC_3672.JPG,2015:09:04 16:03:16,-124.598941666667,49.528285,197
4/09/2015,25,3673.0,6,2,cc,1,1,0,1,4,NA,DSC_3673.JPG,2015:09:04 16:04:48,-124.598913333333,49.528355,290
4/09/2015,26,3675.0,1,0,cc,1,0,1,2,2,NA,DSC_3675.JPG,2015:09:04 16:06:23,-124.59885,49.5284716666667,385
4/09/2015,27,3677.0,2,1,cc,4,0,0,1,1,NA,DSC_3677.JPG,2015:09:04 16:11:25,-124.598866666667,49.5283916666667,685
4/09/2015,28,3678.0,0,0,cc,4,1,0,1,1,NA,DSC_3678.JPG,2015:09:04 16:12:32,-124.59869,49.5283433333333,752
4/09/2015,29,3679.0,0,1,cc,1,1,1,1,3,some loose shell also,DSC_3679.JPG,2015:09:04 16:13:58,-124.598481666667,49.52831,839
4/09/2015,30,3680.0,0,0,cc,2,1,0,0,3,NA,DSC_3680.JPG,2015:09:04 16:15:09,-124.598436666667,49.52823,909
4/09/2015,31,3681.0,0,0,cc,0,0,0,4,1,NA,DSC_3681.JPG,2015:09:04 16:16:11,-124.598383333333,49.528225,971
4/09/2015,32,3682.0,0,0,cc,3,1,1,0,1,NA,DSC_3682.JPG,2015:09:04 16:19:23,-124.598146666667,49.52818,1163
4/09/2015,33,3684.0,0,0,cc,1,1,0,1,2,NA,DSC_3684.JPG,2015:09:04 16:21:42,-124.598181666667,49.5280983333333,1302
4/09/2015,34,3685.0,0,0,cc,2,0,1,0,3,NA,DSC_3685.JPG,2015:09:04 16:24:00,-124.598081666667,49.5280616666667,1440
4/09/2015,35,3686.0,0,0,cc,1,0,2,2,2,NA,DSC_3686.JPG,2015:09:04 16:25:58,-124.597831666667,49.5279566666667,1558
4/09/2015,36,3687.0,0,0,cc,4,0,1,2,0,NA,DSC_3687.JPG,2015:09:04 16:27:11,-124.597731666667,49.5278783333333,1632
4/09/2015,37,3688.0,1,0,cc,1,1,0,0,4,some loose shell also,DSC_3688.JPG,2015:09:04 16:28:46,-124.597753333333,49.5278083333333,1726
4/09/2015,38,3689.0,1,0,cc,1,0,4,1,2,NA,DSC_3689.JPG,2015:09:04 16:31:44,-124.597625,49.52772,1904
5/09/2015,39,3691.0,0,0,cc,3,0,3,1,1,NA,DSC_3691.JPG,2015:09:05 05:53:37,-124.600111666667,49.529215,50018
5/09/2015,40,3692.0,0,0,cc,1,0,4,2,1,NA,DSC_3692.JPG,2015:09:05 05:55:08,-124.599856666667,49.52916,50109
5/09/2015,41,3693.0,0,0,cc,2,0,1,2,0,NA,DSC_3693.JPG,2015:09:05 05:56:35,-124.599523333333,49.5288483333333,50195
5/09/2015,42,3694.0,0,0,cc,0,0,1,4,1,NA,DSC_3694.JPG,2015:09:05 05:57:53,-124.599063333333,49.52888,50273
5/09/2015,43,3696.0,0,0,cc,1,0,1,4,2,NA,DSC_3696.JPG,2015:09:05 05:59:04,-124.598873333333,49.5286883333333,50344
5/09/2015,44,3697.0,0,0,cc,4,0,2,2,1,NA,DSC_3697.JPG,2015:09:05 06:01:43,-124.598413333333,49.5284766666667,50503
5/09/2015,45,3698.0,0,0,cc,4,0,1,0,1,NA,DSC_3698.JPG,2015:09:05 06:03:04,-124.598185,49.5282583333333,50584
5/09/2015,46,3699.0,0,0,cc,1,0,2,4,0,NA,DSC_3699.JPG,2015:09:05 06:04:32,-124.597995,49.528065,50672
5/09/2015,47,3700.0,3,0,cc,2,1,1,1,2,NA,DSC_3700.JPG,2015:09:05 06:07:15,-124.597613333333,49.527785,50835
5/09/2015,48,3701.0,0,0,cc,1,0,3,2,0,NA,DSC_3701.JPG,2015:09:05 06:08:52,-124.597545,49.5276716666667,50932
5/09/2015,49,3702.0,6,0,cc,1,2,0,0,4,NA,DSC_3702.JPG,2015:09:05 06:10:15,-124.597625,49.527575,51015
5/09/2015,50,3703.0,1,0,cc,1,1,0,0,4,NA,DSC_3703.JPG,2015:09:05 06:11:45,-124.597731666667,49.52747,51106
5/09/2015,51,3704.0,2,2,cc,2,1,0,0,3,NA,DSC_3704.JPG,2015:09:05 06:13:08,-124.59773,49.5274033333333,51188
5/09/2015,52,3705.0,20,2,cc,1,1,0,0,4,NA,DSC_3705.JPG,2015:09:05 06:15:07,-124.597631666667,49.527395,51307
5/09/2015,53,3706.0,31,2,cc,1,1,1,0,4,NA,DSC_3706.JPG,2015:09:05 06:16:45,-124.597441666667,49.5274133333333,51405
5/09/2015,54,3707.0,0,0,cc,2,1,0,0,3,NA,DSC_3707.JPG,2015:09:05 06:18:01,-124.597266666667,49.5274066666667,51481
5/09/2015,55,3708.0,0,0,s,3,1,1,0,2,NA,DSC_3708.JPG,2015:09:05 06:20:09,-124.597221666667,49.5272916666667,51609
5/09/2015,56,3709.0,2,0,cc,1,1,1,1,3,NA,DSC_3709.JPG,2015:09:05 06:22:30,-124.597225,49.52729,51750
5/09/2015,57,3710.0,8,1,cc,1,1,2,2,1,counted 5 recruits in addition to the 8 live oysters,DSC_3710.JPG,2015:09:05 06:24:03,-124.597233333333,49.52729,51843
5/09/2015,58,3711.0,22,2,cc,2,1,1,1,2,counted 4 recruits in addition to the 8 live oysters,DSC_3711.JPG,2015:09:05 06:26:18,-124.597398333333,49.5272616666667,51978
5/09/2015,59,3712.0,0,0,lc,0,0,0,0,4,NA,DSC_3712.JPG,2015:09:05 06:28:51,-124.597776666667,49.5270716666667,52131
5/09/2015,60,3713.0,17,3,cc,4,2,0,0,1,counted 1 recruit in addition to the 8 live oysters,DSC_3713.JPG,2015:09:05 06:30:04,-124.597935,49.527015,52204
5/09/2015,61,3714.0,12,2,cc,4,1,0,0,1,NA,DSC_3714.JPG,2015:09:05 06:32:52,-124.597953333333,49.527005,52372
5/09/2015,62,3715.0,34,4,cc,2,1,1,0,1,NA,DSC_3715.JPG,2015:09:05 06:34:41,-124.597838333333,49.5269216666667,52481
5/09/2015,63,3716.0,2,0,lc,0,0,0,2,4,NA,DSC_3716.JPG,2015:09:05 06:36:32,-124.597745,49.5268616666667,52592
5/09/2015,64,3717.0,0,0,s,0,0,4,1,1,NA,DSC_3717.JPG,2015:09:05 06:37:54,-124.597576666667,49.5268716666667,52674
5/09/2015,65,3719.0,0,1,lc,0,0,1,2,2,NA,DSC_3719.JPG,2015:09:05 06:39:10,-124.597533333333,49.52679,52750
5/09/2015,66,3722.0,30,2,cc,1,1,0,0,4,NA,DSC_3722.JPG,2015:09:05 06:40:55,-124.597548333333,49.526755,52855
5/09/2015,67,3724.0,2,0,cc,1,1,0,0,4,NA,DSC_3724.JPG,2015:09:05 06:43:15,-124.597555,49.52674,52995
5/09/2015,68,3726.0,2,2,cc,1,1,0,0,3,NA,DSC_3726.JPG,2015:09:05 06:45:19,-124.597595,49.5264666666667,53120
